service_id,date,exception_type
662@1,20230407,2
661@5,20230407,1
661@1,20230407,2
E30.2@5,20230407,1
E30.2@1,20230407,2
B02@5,20230407,1
B02@1,20230407,2
B024@5,20230407,1
B024@1,20230407,2
665@5,20230407,1
665@1,20230407,2
B55@5,20230407,1
B55@1,20230407,2
703@5,20230407,1
703@1,20230407,2
704@5,20230407,1
704@1,20230407,2
7041@5,20230407,1
7041@1,20230407,2
7052@5,20230407,1
7052@1,20230407,2
7151@5,20230407,1
7151@1,20230407,2
718@5,20230407,1
718@1,20230407,2
C2@5,20230407,1
C2@1,20230407,2
C5@5,20230407,1
C5@1,20230407,2
B09@5,20230407,1
B09@1,20230407,2
B094@5,20230407,1
B094@1,20230407,2
A952@5,20230407,1
A952@1,20230407,2
A953@5,20230407,1
A953@1,20230407,2
A954@5,20230407,1
A954@1,20230407,2
E10@5,20230409,1
E10@3,20230409,2
T1@5,20230409,1
T1@3,20230409,2
T11@5,20230409,1
T11@3,20230409,2
T22@5,20230409,1
T22@3,20230409,2
T2A2@5,20230409,1
T2A2@3,20230409,2
T3@5,20230409,1
T3@3,20230409,2
10.4@5,20230409,1
10.4@3,20230409,2
T4@5,20230409,1
T4@3,20230409,2
10.52@5,20230409,1
10.52@3,20230409,2
T52@5,20230409,1
T52@3,20230409,2
10.6@5,20230409,1
10.6@3,20230409,2
T6@5,20230409,1
T6@3,20230409,2
10.61@5,20230409,1
10.61@3,20230409,2
10.62@5,20230409,1
10.62@3,20230409,2
10.7@5,20230409,1
10.7@3,20230409,2
T9@5,20230409,1
T9@3,20230409,2
A14@5,20230409,1
A14@3,20230409,2
A141@5,20230409,1
A141@3,20230409,2
E6011@5,20230409,1
E6011@3,20230409,2
149@5,20230409,1
149@3,20230409,2
1493@5,20230409,1
1493@3,20230409,2
244@5,20230409,1
244@3,20230409,2
2441@5,20230409,1
2441@3,20230409,2
A19@5,20230409,1
A19@3,20230409,2
171@5,20230409,1
171@3,20230409,2
O171@5,20230409,1
O171@3,20230409,2
1716@5,20230409,1
1716@3,20230409,2
173@5,20230409,1
173@3,20230409,2
177@5,20230409,1
177@3,20230409,2
178@5,20230409,1
178@3,20230409,2
179@5,20230409,1
179@3,20230409,2
176@5,20230409,1
176@3,20230409,2
M79@5,20230409,1
M79@3,20230409,2
C80@5,20230409,1
C80@3,20230409,2
282@5,20230409,1
282@3,20230409,2
2821@5,20230409,1
2821@3,20230409,2
184@5,20230409,1
184@3,20230409,2
188@5,20230409,1
188@3,20230409,2
189@5,20230409,1
189@3,20230409,2
195@5,20230409,1
195@3,20230409,2
20.21@5,20230409,1
20.21@3,20230409,2
20.6@5,20230409,1
20.6@3,20230409,2
209@5,20230409,1
209@3,20230409,2
210@5,20230409,1
210@3,20230409,2
216@5,20230409,1
216@3,20230409,2
O210@5,20230409,1
O210@3,20230409,2
T12A@5,20230409,1
T12A@3,20230409,2
R101@5,20230409,1
R101@3,20230409,2
1101@5,20230409,1
1101@3,20230409,2
2101@5,20230409,1
2101@3,20230409,2
211@5,20230409,1
211@3,20230409,2
A11@5,20230409,1
A11@3,20230409,2
A17@5,20230409,1
A17@3,20230409,2
M10@5,20230409,1
M10@3,20230409,2
A13@5,20230409,1
A13@3,20230409,2
2531@5,20230409,1
2531@3,20230409,2
2533@5,20230409,1
2533@3,20230409,2
2543@5,20230409,1
2543@3,20230409,2
255@5,20230409,1
255@3,20230409,2
2552@5,20230409,1
2552@3,20230409,2
A257@5,20230409,1
A257@3,20230409,2
2562@5,20230409,1
2562@3,20230409,2
2572@5,20230409,1
2572@3,20230409,2
2573@5,20230409,1
2573@3,20230409,2
250@5,20230409,1
250@3,20230409,2
251@5,20230409,1
251@3,20230409,2
254@5,20230409,1
254@3,20230409,2
2541@5,20230409,1
2541@3,20230409,2
260@5,20230409,1
260@3,20230409,2
2602@5,20230409,1
2602@3,20230409,2
2601@5,20230409,1
2601@3,20230409,2
262@5,20230409,1
262@3,20230409,2
2701@5,20230409,1
2701@3,20230409,2
2631@5,20230409,1
2631@3,20230409,2
2632@5,20230409,1
2632@3,20230409,2
264@5,20230409,1
264@3,20230409,2
165@5,20230409,1
165@3,20230409,2
266@5,20230409,1
266@3,20230409,2
286@5,20230409,1
286@3,20230409,2
284@5,20230409,1
284@3,20230409,2
A87@5,20230409,1
A87@3,20230409,2
289@5,20230409,1
289@3,20230409,2
A69@5,20230409,1
A69@3,20230409,2
2843@5,20230409,1
2843@3,20230409,2
268@5,20230409,1
268@3,20230409,2
2733@5,20230409,1
2733@3,20230409,2
A74@5,20230409,1
A74@3,20230409,2
2682@5,20230409,1
2682@3,20230409,2
2672@5,20230409,1
2672@3,20230409,2
M68@5,20230409,1
M68@3,20230409,2
2685@5,20230409,1
2685@3,20230409,2
2671@5,20230409,1
2671@3,20230409,2
272@5,20230409,1
272@3,20230409,2
2731@5,20230409,1
2731@3,20230409,2
274@5,20230409,1
274@3,20230409,2
2741@5,20230409,1
2741@3,20230409,2
2801@5,20230409,1
2801@3,20230409,2
2814@5,20230409,1
2814@3,20230409,2
2813@5,20230409,1
2813@3,20230409,2
2816@5,20230409,1
2816@3,20230409,2
A81@5,20230409,1
A81@3,20230409,2
283@5,20230409,1
283@3,20230409,2
A85@5,20230409,1
A85@3,20230409,2
30.2@5,20230409,1
30.2@3,20230409,2
T12@5,20230409,1
T12@3,20230409,2
343@5,20230409,1
343@3,20230409,2
344@5,20230409,1
344@3,20230409,2
3441@5,20230409,1
3441@3,20230409,2
3442@5,20230409,1
3442@3,20230409,2
3462@5,20230409,1
3462@3,20230409,2
3463@5,20230409,1
3463@3,20230409,2
347@5,20230409,1
347@3,20230409,2
A48@5,20230409,1
A48@3,20230409,2
349@5,20230409,1
349@3,20230409,2
3491@5,20230409,1
3491@3,20230409,2
353@5,20230409,1
353@3,20230409,2
A360@5,20230409,1
A360@3,20230409,2
361@5,20230409,1
361@3,20230409,2
375@5,20230409,1
375@3,20230409,2
A375@5,20230409,1
A375@3,20230409,2
3762@5,20230409,1
3762@3,20230409,2
394@5,20230409,1
394@3,20230409,2
3941@5,20230409,1
3941@3,20230409,2
3946@5,20230409,1
3946@3,20230409,2
397@5,20230409,1
397@3,20230409,2
3971@5,20230409,1
3971@3,20230409,2
A321@5,20230409,1
A321@3,20230409,2
398@5,20230409,1
398@3,20230409,2
M98@5,20230409,1
M98@3,20230409,2
A99@5,20230409,1
A99@3,20230409,2
O398@5,20230409,1
O398@3,20230409,2
A991@5,20230409,1
A991@3,20230409,2
3984@5,20230409,1
3984@3,20230409,2
A98@5,20230409,1
A98@3,20230409,2
40.41@5,20230409,1
40.41@3,20230409,2
429@5,20230409,1
429@3,20230409,2
4292@5,20230409,1
4292@3,20230409,2
4321@5,20230409,1
4321@3,20230409,2
433@5,20230409,1
