service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1841@1,1,1,1,1,1,0,0,20230313,20230613
R84@1,1,1,1,1,1,0,0,20230313,20230613
1842@1,1,1,1,1,1,0,0,20230313,20230613
188@1,1,1,1,1,1,0,0,20230313,20230613
188@2,0,0,0,0,0,1,0,20230313,20230613
188@3,0,0,0,0,0,0,1,20230313,20230613
188@5,0,0,0,0,0,0,0,20230313,20230613
189@1,1,1,1,1,1,0,0,20230313,20230613
189@2,0,0,0,0,0,1,0,20230313,20230613
189@3,0,0,0,0,0,0,1,20230313,20230613
189@5,0,0,0,0,0,0,0,20230313,20230613
195@1,1,1,1,1,1,0,0,20230313,20230613
195@2,0,0,0,0,0,1,0,20230313,20230613
195@3,0,0,0,0,0,0,1,20230313,20230613
195@5,0,0,0,0,0,0,0,20230313,20230613
02.1@1,1,1,1,1,1,0,0,20230313,20230613
F02@1,1,1,1,1,1,0,0,20230313,20230613
02.1@2,0,0,0,0,0,1,0,20230313,20230613
F02@2,0,0,0,0,0,1,0,20230313,20230613
20.11@1,1,1,1,1,1,0,0,20230313,20230613
20.11@2,0,0,0,0,0,1,0,20230313,20230613
20.21@1,1,1,1,1,1,0,0,20230313,20230613
20.21@2,0,0,0,0,0,1,0,20230313,20230613
20.21@3,0,0,0,0,0,0,1,20230313,20230613
20.21@5,0,0,0,0,0,0,0,20230313,20230613
20.4@1,1,1,1,1,1,0,0,20230313,20230613
20.5@1,1,1,1,1,1,0,0,20230313,20230613
20.5@2,0,0,0,0,0,1,0,20230313,20230613
20.6@1,1,1,1,1,1,0,0,20230313,20230613
20.6@2,0,0,0,0,0,1,0,20230313,20230613
20.6@3,0,0,0,0,0,0,1,20230313,20230613
20.6@5,0,0,0,0,0,0,0,20230313,20230613
209@1,1,1,1,1,1,0,0,20230313,20230613
209@2,0,0,0,0,0,1,0,20230313,20230613
209@3,0,0,0,0,0,0,1,20230313,20230613
209@5,0,0,0,0,0,0,0,20230313,20230613
A15@1,1,1,1,1,1,0,0,20230313,20230613
A15@2,0,0,0,0,0,1,0,20230313,20230613
A09@1,1,1,1,1,1,0,0,20230313,20230613
A09@2,0,0,0,0,0,1,0,20230313,20230613
02.11@1,1,1,1,1,1,0,0,20230313,20230613
02.11@2,0,0,0,0,0,1,0,20230313,20230613
210@1,1,1,1,1,1,0,0,20230313,20230613
210@2,0,0,0,0,0,1,0,20230313,20230613
210@3,0,0,0,0,0,0,1,20230313,20230613
210@5,0,0,0,0,0,0,0,20230313,20230613
110@1,1,1,1,1,1,0,0,20230313,20230613
110@2,0,0,0,0,0,1,0,20230313,20230613
216@1,1,1,1,1,1,0,0,20230313,20230613
216@2,0,0,0,0,0,1,0,20230313,20230613
216@3,0,0,0,0,0,0,1,20230313,20230613
216@5,0,0,0,0,0,0,0,20230313,20230613
O210@2,0,0,0,0,0,1,0,20230313,20230613
O210@3,0,0,0,0,0,0,1,20230313,20230613
O210@5,0,0,0,0,0,0,0,20230313,20230613
R10@1,1,1,1,1,1,0,0,20230313,20230613
R10@2,0,0,0,0,0,1,0,20230313,20230613
R16@1,1,1,1,1,1,0,0,20230313,20230613
1102@1,1,1,1,1,1,0,0,20230313,20230613
T12A@1,1,1,1,1,1,0,0,20230313,20230613
T12A@2,0,0,0,0,0,1,0,20230313,20230613
T12A@3,0,0,0,0,0,0,1,20230313,20230613
T12A@5,0,0,0,0,0,0,0,20230313,20230613
R101@2,0,0,0,0,0,1,0,20230313,20230613
R101@3,0,0,0,0,0,0,1,20230313,20230613
R101@5,0,0,0,0,0,0,0,20230313,20230613
A1@1,1,1,1,1,1,0,0,20230313,20230613
214@1,1,1,1,1,1,0,0,20230313,20230613
2141@1,1,1,1,1,1,0,0,20230313,20230613
1101@2,0,0,0,0,0,1,0,20230313,20230613
1101@3,0,0,0,0,0,0,1,20230313,20230613
1101@5,0,0,0,0,0,0,0,20230313,20230613
2101@2,0,0,0,0,0,1,0,20230313,20230613
2101@3,0,0,0,0,0,0,1,20230313,20230613
2101@5,0,0,0,0,0,0,0,20230313,20230613
211@1,1,1,1,1,1,0,0,20230313,20230613
211@2,0,0,0,0,0,1,0,20230313,20230613
211@3,0,0,0,0,0,0,1,20230313,20230613
211@5,0,0,0,0,0,0,0,20230313,20230613
111@1,1,1,1,1,1,0,0,20230313,20230613
1111@2,0,0,0,0,0,1,0,20230313,20230613
A11@1,1,1,1,1,1,0,0,20230313,20230613
A11@2,0,0,0,0,0,1,0,20230313,20230613
A11@3,0,0,0,0,0,0,1,20230313,20230613
A11@5,0,0,0,0,0,0,0,20230313,20230613
R3@1,1,1,1,1,1,0,0,20230313,20230613
R4@1,1,1,1,1,1,0,0,20230313,20230613
A18@1,1,1,1,1,1,0,0,20230313,20230613
A17@1,1,1,1,1,1,0,0,20230313,20230613
A17@2,0,0,0,0,0,1,0,20230313,20230613
A17@3,0,0,0,0,0,0,1,20230313,20230613
A17@5,0,0,0,0,0,0,0,20230313,20230613
M10@1,1,1,1,1,1,0,0,20230313,20230613
M10@2,0,0,0,0,0,1,0,20230313,20230613
M10@3,0,0,0,0,0,0,1,20230313,20230613
M10@5,0,0,0,0,0,0,0,20230313,20230613
A13@1,1,1,1,1,1,0,0,20230313,20230613
A13@2,0,0,0,0,0,1,0,20230313,20230613
A13@3,0,0,0,0,0,0,1,20230313,20230613
A13@5,0,0,0,0,0,0,0,20230313,20230613
2531@2,0,0,0,0,0,1,0,20230313,20230613
2531@3,0,0,0,0,0,0,1,20230313,20230613
2531@5,0,0,0,0,0,0,0,20230313,20230613
2533@1,1,1,1,1,1,0,0,20230313,20230613
2533@2,0,0,0,0,0,1,0,20230313,20230613
2533@3,0,0,0,0,0,0,1,20230313,20230613
2533@5,0,0,0,0,0,0,0,20230313,20230613
2542@1,1,1,1,1,1,0,0,20230313,20230613
2543@1,1,1,1,1,1,0,0,20230313,20230613
2543@2,0,0,0,0,0,1,0,20230313,20230613
2543@3,0,0,0,0,0,0,1,20230313,20230613
2543@5,0,0,0,0,0,0,0,20230313,20230613
255@1,1,1,1,1,1,0,0,20230313,20230613
255@2,0,0,0,0,0,1,0,20230313,20230613
255@3,0,0,0,0,0,0,1,20230313,20230613
255@5,0,0,0,0,0,0,0,20230313,20230613
2552@2,0,0,0,0,0,1,0,20230313,20230613
2552@3,0,0,0,0,0,0,1,20230313,20230613
2552@5,0,0,0,0,0,0,0,20230313,20230613
A257@2,0,0,0,0,0,1,0,20230313,20230613
A257@3,0,0,0,0,0,0,1,20230313,20230613
A257@5,0,0,0,0,0,0,0,20230313,20230613
256@1,1,1,1,1,1,0,0,20230313,20230613
256@2,0,0,0,0,0,1,0,20230313,20230613
2561@1,1,1,1,1,1,0,0,20230313,20230613
2561@2,0,0,0,0,0,1,0,20230313,20230613
2562@1,1,1,1,1,1,0,0,20230313,20230613
2562@2,0,0,0,0,0,1,0,20230313,20230613
2562@3,0,0,0,0,0,0,1,20230313,20230613
2562@5,0,0,0,0,0,0,0,20230313,20230613
2563@1,1,1,1,1,1,0,0,20230313,20230613
2572@1,1,1,1,1,1,0,0,20230313,20230613
