route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_time
165,165@1,165-1@1#1750,,,0,,165-1,2,43
165,165@1,165-1@1#1800,,,0,,165-1,1,43
165,165@1,165-1@1#1810,,,0,,165-1,1,43
165,165@1,165-1@1#1820,,,0,,165-1,1,43
165,165@1,165-1@1#1830,,,0,,165-1,1,43
165,165@1,165-1@1#1840,,,0,,165-1,1,43
165,165@1,165-1@1#1852,,,0,,165-1,2,43
165,165@1,165-1@1#1904,,,0,,165-1,1,43
165,165@1,165-1@1#1916,,,0,,165-1,1,43
165,165@1,165-1@1#1930,,,0,,165-1,1,43
165,165@1,165-1@1#1950,,,0,,165-1,1,42
165,165@1,165-1@1#2010,,,0,,165-1,1,42
165,165@1,165-1@1#2040,,,0,,165-1,1,42
165,165@1,165-1@1#2115,,,0,,165-1,2,42
165,165@1,165-1@1#2150,,,0,,165-1,1,42
165,165@1,165-1@1#2220,,,0,,165-1,1,42
165,165@1,165-1@1#2250,,,0,,165-1,1,42
165,165@1,165-1@1#2320,,,0,,165-1,2,37
165,165@2,165-1@2#650,,,0,,165-1,1,35
165,165@2,165-1@2#705,,,0,,165-1,1,40
165,165@2,165-1@2#720,,,0,,165-1,1,40
165,165@2,165-1@2#735,,,0,,165-1,1,40
165,165@2,165-1@2#750,,,0,,165-1,1,40
165,165@2,165-1@2#805,,,0,,165-1,1,40
165,165@2,165-1@2#820,,,0,,165-1,1,40
165,165@2,165-1@2#840,,,0,,165-1,1,40
165,165@2,165-1@2#900,,,0,,165-1,1,40
165,165@2,165-1@2#920,,,0,,165-1,1,40
165,165@2,165-1@2#940,,,0,,165-1,1,40
165,165@2,165-1@2#1000,,,0,,165-1,1,40
165,165@2,165-1@2#1020,,,0,,165-1,1,40
165,165@2,165-1@2#1040,,,0,,165-1,1,40
165,165@2,165-1@2#1100,,,0,,165-1,1,40
165,165@2,165-1@2#1115,,,0,,165-1,1,40
165,165@2,165-1@2#1130,,,0,,165-1,1,40
165,165@2,165-1@2#1145,,,0,,165-1,1,40
165,165@2,165-1@2#1200,,,0,,165-1,1,40
165,165@2,165-1@2#1220,,,0,,165-1,1,40
165,165@2,165-1@2#1235,,,0,,165-1,1,40
165,165@2,165-1@2#1250,,,0,,165-1,1,40
165,165@2,165-1@2#1305,,,0,,165-1,1,40
165,165@2,165-1@2#1320,,,0,,165-1,1,40
165,165@2,165-1@2#1335,,,0,,165-1,1,40
165,165@2,165-1@2#1350,,,0,,165-1,1,40
165,165@2,165-1@2#1405,,,0,,165-1,1,40
165,165@2,165-1@2#1425,,,0,,165-1,1,40
165,165@2,165-1@2#1440,,,0,,165-1,1,40
165,165@2,165-1@2#1500,,,0,,165-1,1,40
165,165@2,165-1@2#1520,,,0,,165-1,1,40
165,165@2,165-1@2#1540,,,0,,165-1,1,40
165,165@2,165-1@2#1600,,,0,,165-1,1,40
165,165@2,165-1@2#1620,,,0,,165-1,1,40
165,165@2,165-1@2#1640,,,0,,165-1,1,40
165,165@2,165-1@2#1655,,,0,,165-1,1,40
165,165@2,165-1@2#1710,,,0,,165-1,1,40
165,165@2,165-1@2#1725,,,0,,165-1,1,40
165,165@2,165-1@2#1740,,,0,,165-1,1,40
165,165@2,165-1@2#1755,,,0,,165-1,1,40
165,165@2,165-1@2#1810,,,0,,165-1,1,40
165,165@2,165-1@2#1825,,,0,,165-1,1,40
165,165@2,165-1@2#1840,,,0,,165-1,1,40
165,165@2,165-1@2#1900,,,0,,165-1,1,40
165,165@2,165-1@2#1920,,,0,,165-1,1,40
165,165@2,165-1@2#1945,,,0,,165-1,1,40
165,165@2,165-1@2#2000,,,0,,165-1,1,40
165,165@2,165-1@2#2025,,,0,,165-1,1,40
165,165@2,165-1@2#2050,,,0,,165-1,1,40
165,165@2,165-1@2#2120,,,0,,165-1,1,40
165,165@2,165-1@2#2150,,,0,,165-1,1,40
165,165@2,165-1@2#2220,,,0,,165-1,1,35
165,165@2,165-1@2#2300,,,0,,165-1,1,35
165,165@3,165-1@3#710,,,0,,165-1,2,35
165,165@3,165-1@3#740,,,0,,165-1,2,35
165,165@3,165-1@3#810,,,0,,165-1,2,35
165,165@3,165-1@3#840,,,0,,165-1,2,35
165,165@3,165-1@3#910,,,0,,165-1,2,35
165,165@3,165-1@3#940,,,0,,165-1,1,35
165,165@3,165-1@3#1010,,,0,,165-1,2,35
165,165@3,165-1@3#1040,,,0,,165-1,2,35
165,165@3,165-1@3#1110,,,0,,165-1,2,35
165,165@3,165-1@3#1140,,,0,,165-1,2,35
165,165@3,165-1@3#1210,,,0,,165-1,2,35
165,165@3,165-1@3#1240,,,0,,165-1,2,35
165,165@3,165-1@3#1310,,,0,,165-1,2,35
165,165@3,165-1@3#1340,,,0,,165-1,2,35
165,165@3,165-1@3#1410,,,0,,165-1,2,35
165,165@3,165-1@3#1440,,,0,,165-1,2,35
165,165@3,165-1@3#1510,,,0,,165-1,2,35
165,165@3,165-1@3#1540,,,0,,165-1,2,35
165,165@3,165-1@3#1610,,,0,,165-1,2,35
165,165@3,165-1@3#1640,,,0,,165-1,2,35
165,165@3,165-1@3#1710,,,0,,165-1,2,35
165,165@3,165-1@3#1740,,,0,,165-1,2,35
165,165@3,165-1@3#1810,,,0,,165-1,2,35
165,165@3,165-1@3#1840,,,0,,165-1,2,35
165,165@3,165-1@3#1910,,,0,,165-1,2,35
165,165@3,165-1@3#1940,,,0,,165-1,2,35
165,165@3,165-1@3#2030,,,0,,165-1,2,35
165,165@3,165-1@3#2110,,,0,,165-1,2,35
165,165@3,165-1@3#2150,,,0,,165-1,2,35
165,165@3,165-1@3#2227,,,0,,165-1,2,35
165,165@3,165-1@3#2300,,,0,,165-1,2,35
165,165@5,165-1@5#710,,,0,,165-1,2,35
165,165@5,165-1@5#740,,,0,,165-1,2,35
